station,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,feel,date,time
EGAA,13.0,11.0,87.65,170.0,7.202216,0.0,0.75311,,6.21,12.346656,13.0,20220101,00:20
EGAA,13.0,11.0,87.65,170.0,6.687772,0.0,0.75311,,6.21,,13.0,20220101,00:50
EGAA,13.0,10.0,81.99,170.0,8.745548,0.0,0.752348,,6.21,14.918876000000001,13.0,20220101,01:20
EGAA,13.0,10.0,81.99,180.0,8.231104,0.0,0.752348,,6.21,,13.0,20220101,01:50
EGAA,13.0,9.0,76.66,170.0,7.71666,0.0,0.751586,,6.21,12.8611,13.0,20220101,02:20
EGAA,12.0,9.0,81.87,160.0,7.71666,0.0,0.7508239999999999,,6.21,12.8611,12.0,20220101,02:50
EGAA,12.0,9.0,81.87,180.0,7.71666,0.0,0.7508239999999999,,6.21,12.8611,12.0,20220101,03:20
EGAA,12.0,9.0,81.87,180.0,8.745548,0.0,0.7508239999999999,,6.21,13.889988,12.0,20220101,03:50
EGAA,12.0,9.0,81.87,170.0,7.71666,0.0,0.7493,,6.21,13.375544,12.0,20220101,04:20
EGAA,12.0,9.0,81.87,180.0,9.774436,0.0,0.7493,,6.21,14.918876000000001,12.0,20220101,04:50
EGAA,12.0,9.0,81.87,170.0,7.71666,0.0,0.7493,,6.21,12.8611,12.0,20220101,05:20
EGAA,13.0,10.0,81.99,170.0,7.202216,0.0,0.7493,,6.21,13.375544,13.0,20220101,05:50
EGAA,14.0,10.0,76.82,180.0,8.745548,0.0,0.7485379999999999,,6.21,,14.0,20220101,06:20
EGAA,14.0,10.0,76.82,190.0,10.28888,0.0,0.7485379999999999,,6.21,17.491096,14.0,20220101,06:50
EGAA,14.0,10.0,76.82,190.0,10.28888,0.0,0.7485379999999999,,6.21,15.43332,14.0,20220101,07:20
EGAA,14.0,10.0,76.82,200.0,11.317768000000001,0.0,0.7485379999999999,,6.21,19.548872,14.0,20220101,07:50
EGAA,14.0,10.0,76.82,220.0,9.774436,0.0,0.7493,,6.21,16.462208,14.0,20220101,08:20
EGAA,13.0,8.0,71.64,230.0,9.259992,0.0,0.750062,,6.21,,13.0,20220101,08:50
EGAA,13.0,8.0,71.64,220.0,10.28888,0.0,0.7508239999999999,,6.21,,13.0,20220101,09:20
EGAA,13.0,7.0,66.91,210.0,8.231104,0.0,0.7508239999999999,,6.21,,13.0,20220101,09:50
EGAA,13.0,7.0,66.91,200.0,9.259992,0.0,0.7508239999999999,,6.21,15.947764000000001,13.0,20220101,10:20
EGAA,12.0,8.0,76.5,200.0,8.231104,0.0,0.751586,,6.21,13.889988,12.0,20220101,10:50
EGAA,12.0,8.0,76.5,210.0,8.745548,0.0,0.751586,,6.21,15.43332,12.0,20220101,11:20
EGAA,12.0,8.0,76.5,210.0,7.71666,0.0,0.751586,,6.21,,12.0,20220101,11:50
EGAA,13.0,8.0,71.64,210.0,7.71666,0.0,0.751586,,6.21,,13.0,20220101,12:20
EGAA,13.0,8.0,71.64,210.0,7.202216,0.0,0.751586,,6.21,12.8611,13.0,20220101,12:50
EGAA,13.0,8.0,71.64,200.0,8.231104,0.0,0.7508239999999999,,6.21,13.889988,13.0,20220101,13:20
EGAA,13.0,8.0,71.64,210.0,9.259992,0.0,0.7508239999999999,,6.21,,13.0,20220101,13:50
EGAA,12.0,8.0,76.5,210.0,7.71666,0.0,0.7508239999999999,,6.21,12.8611,12.0,20220101,14:20
EGAA,12.0,8.0,76.5,210.0,7.71666,0.0,0.7508239999999999,,3.73,,12.0,20220101,14:50
EGAA,10.0,8.0,87.37,230.0,6.687772,0.0,0.7508239999999999,,6.21,,10.0,20220101,15:20
EGAA,9.0,8.0,93.45,210.0,5.6588840000000005,0.0,0.7508239999999999,,6.21,,6.1,20220101,15:50
EGAA,10.0,8.0,87.37,210.0,4.115552,0.0,0.751586,,6.21,,10.0,20220101,16:20
EGAA,10.0,9.0,93.5,210.0,3.601108,0.0,0.751586,,6.21,,10.0,20220101,16:50
EGAA,11.0,8.0,81.74,230.0,7.202216,0.0,0.751586,,6.21,,11.0,20220101,17:20
EGAA,10.0,8.0,87.37,220.0,6.173328,0.0,0.751586,,6.21,,10.0,20220101,17:50
EGAA,10.0,7.0,81.61,230.0,7.202216,0.0,0.751586,,6.21,,10.0,20220101,18:20
EGAA,10.0,7.0,81.61,230.0,5.6588840000000005,0.0,0.752348,,6.21,,10.0,20220101,18:50
EGAA,9.0,7.0,87.28,230.0,8.231104,0.0,0.752348,,6.21,,5.3,20220101,19:20
EGAA,9.0,6.0,81.47,240.0,6.173328,0.0,0.752348,,6.21,,5.9,20220101,19:50
EGAA,8.0,6.0,87.19,220.0,5.6588840000000005,0.0,0.752348,,6.21,,4.8,20220101,20:20
EGAA,8.0,6.0,87.19,210.0,5.14444,0.0,0.75311,,6.21,,5.0,20220101,20:50
EGAA,8.0,6.0,87.19,210.0,3.601108,0.0,0.75311,,6.21,,5.7,20220101,21:20
EGAA,8.0,6.0,87.19,210.0,4.629996,0.0,0.752348,,6.21,,5.2,20220101,21:50
EGAA,8.0,6.0,87.19,210.0,4.629996,0.0,0.752348,,6.21,,5.2,20220101,22:20
EGAA,7.0,6.0,93.35,190.0,3.086664,0.0,0.752348,,6.21,,4.8,20220101,22:50
EGAA,8.0,6.0,87.19,200.0,3.601108,0.0,0.752348,,6.21,,5.7,20220101,23:20
EGAA,8.0,6.0,87.19,210.0,5.6588840000000005,0.0,0.752348,,6.21,,4.8,20220101,23:50
EGAA,8.0,7.0,93.4,210.0,6.173328,0.0,0.752348,,6.21,,4.6,20220102,00:20
EGAA,8.0,7.0,93.4,210.0,7.202216,0.0,0.751586,,6.21,,4.3,20220102,00:50
EGAA,8.0,7.0,93.4,210.0,6.687772,0.0,0.751586,,6.21,,4.5,20220102,01:20
EGAA,8.0,7.0,93.4,210.0,6.173328,0.0,0.7508239999999999,,6.21,,4.6,20220102,01:50
EGAA,8.0,7.0,93.4,210.0,5.6588840000000005,0.0,0.7508239999999999,,6.21,,4.8,20220102,02:20
EGAA,8.0,7.0,93.4,210.0,5.6588840000000005,0.0,0.7508239999999999,,6.21,,4.8,20220102,02:50
EGAA,8.0,6.0,87.19,200.0,6.173328,0.0,0.7508239999999999,,6.21,,4.6,20220102,03:20
EGAA,8.0,6.0,87.19,200.0,5.6588840000000005,0.0,0.750062,,6.21,,4.8,20220102,03:50
EGAA,8.0,6.0,87.19,200.0,6.173328,0.0,0.750062,,6.21,,4.6,20220102,04:20
EGAA,8.0,6.0,87.19,200.0,6.687772,0.0,0.750062,,6.21,,4.5,20220102,04:50
EGAA,8.0,6.0,87.19,210.0,6.687772,0.0,0.7493,,6.21,,4.5,20220102,05:20
EGAA,9.0,6.0,81.47,210.0,6.687772,0.0,0.7493,,6.21,,5.7,20220102,05:50
EGAA,8.0,6.0,87.19,210.0,6.173328,0.0,0.7493,,6.21,,4.6,20220102,06:20
EGAA,9.0,6.0,81.47,200.0,6.173328,0.0,0.7493,,6.21,,5.9,20220102,06:50
EGAA,8.0,6.0,87.19,200.0,6.687772,0.0,0.7493,,6.21,,4.5,20220102,07:20
EGAA,9.0,6.0,81.47,200.0,6.173328,0.0,0.7493,,6.21,,5.9,20220102,07:50
EGAA,9.0,6.0,81.47,200.0,5.6588840000000005,0.0,0.7493,,6.21,,6.1,20220102,08:20
EGAA,8.0,6.0,87.19,190.0,5.6588840000000005,0.0,0.7493,,6.21,,4.8,20220102,08:50
EGAA,8.0,6.0,87.19,190.0,5.6588840000000005,0.0,0.7493,,6.21,,4.8,20220102,09:20
EGAA,8.0,6.0,87.19,200.0,6.173328,0.0,0.7485379999999999,,6.21,,4.6,20220102,09:50
EGAA,8.0,6.0,87.19,200.0,7.202216,0.0,0.7485379999999999,,6.21,,4.3,20220102,10:20
EGAA,9.0,6.0,81.47,200.0,6.687772,0.0,0.7485379999999999,,6.21,,5.7,20220102,10:50
EGAA,9.0,6.0,81.47,200.0,7.202216,0.0,0.7485379999999999,,6.21,,5.6,20220102,11:20
EGAA,9.0,7.0,87.28,210.0,6.173328,0.0,0.7485379999999999,,6.21,,5.9,20220102,11:50
EGAA,10.0,6.0,76.18,220.0,7.202216,0.0,0.747776,,6.21,,10.0,20220102,12:20
EGAA,10.0,6.0,76.18,220.0,7.71666,0.0,0.747776,,6.21,,10.0,20220102,12:50
EGAA,10.0,6.0,76.18,220.0,7.202216,0.0,0.747014,,6.21,,10.0,20220102,13:20
EGAA,10.0,6.0,76.18,230.0,8.745548,0.0,0.747776,,6.21,,10.0,20220102,13:50
EGAA,10.0,6.0,76.18,230.0,8.231104,0.0,0.747014,,6.21,,10.0,20220102,14:20
